cohort,date,elapsed_day,n,n_dropout,breakthrough_rate,bt_ci_lo,bt_ci_hi,retention_rate,ret_ci_lo,ret_ci_hi,settle_rate
approach,2026-06-18,0,289,11,0.0,0.0,0.0,,,,
approach,2026-06-19,1,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-06-20,2,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-06-21,3,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-06-22,4,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-06-23,5,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-06-24,6,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-06-25,7,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-06-26,8,289,11,0.0,0.0,0.0,0.03806228373702422,0.01730103806228374,0.06228373702422145,
approach,2026-06-27,9,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-06-28,10,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-06-29,11,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-06-30,12,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-01,13,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-02,14,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-03,15,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-04,16,289,11,0.0,0.0,0.0,0.031141868512110725,0.01384083044982699,0.05190311418685121,
approach,2026-07-05,17,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-06,18,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-07,19,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-08,20,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-09,21,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-10,22,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-11,23,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-12,24,289,11,0.0,0.0,0.0,0.02422145328719723,0.006920415224913495,0.04498269896193772,
approach,2026-07-13,25,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-14,26,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-15,27,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-16,28,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-17,29,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-18,30,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-19,31,289,11,0.0,0.0,0.0,0.0,0.0,0.0,
approach,2026-07-20,32,289,11,0.0,0.0,0.0,0.02422145328719723,0.006920415224913495,0.04498269896193772,
