label,cohort,ocid,levels,start_level,total_growth,event_growth,between_growth,n_active_ge1,n_active_ge2,top1_share,top2_share,hhi,disp_entropy,conc_entropy,gap12
Persistent_cand,climb,547b6f2aa500f7d92a8224c18ef87d74,225|235|237|249|255|256,225,31,11,20,5,4,0.387,0.71,0.297,0.831,0.169,2
Persistent_cand,at260,749d0a2b099c6d3cb65218b02c1f4234,250|255|255|257|260|260,250,10,5,5,3,3,0.5,0.8,0.38,0.64,0.36,2
Persistent_cand,at260,a7bc11fed0e07ceb652a2f1148e932ffefe8d04e6d233bd35cf2fabdeb93fb0d,223|223|226|240|260|260,223,37,0,37,3,3,0.541,0.919,0.442,0.562,0.438,6
Persistent_cand,climb,db50a8916c2feaeb4fa8e4c6e55a7b3defe8d04e6d233bd35cf2fabdeb93fb0d,200|200|200|203|255|260,200,60,5,55,3,3,0.867,0.95,0.761,0.299,0.701,47
Persistent_cand,climb,cb101b65ee0e5bc06bf046ed1d47059e,220|220|220|235|255|260,220,40,5,35,3,3,0.5,0.875,0.406,0.605,0.395,5
Persistent_cand,climb,61668637c76b2fee59cf483e22c11dd9,230|234|236|243|256|260,230,30,8,22,5,5,0.433,0.667,0.282,0.882,0.118,6
Persistent_cand,climb,85892b7afd7c6caa422d8eea63e91438efe8d04e6d233bd35cf2fabdeb93fb0d,235|235|235|250|255|260,235,25,5,20,3,3,0.6,0.8,0.44,0.59,0.41,10
Persistent_cand,climb,28d97f8c4b9f673d366ec5776e874901,228|228|239|245|255|260,228,32,5,27,4,4,0.344,0.656,0.275,0.829,0.171,1
Persistent_cand,climb,69f23d1fd1e4f77b9e6cb77dcf3850ad,222|222|223|231|255|260,222,38,5,33,4,3,0.632,0.842,0.461,0.609,0.391,16
Persistent_cand,climb,911dc910e299fb5505bfc67e0c3108beefe8d04e6d233bd35cf2fabdeb93fb0d,215|215|218|219|255|259,215,44,4,40,4,3,0.818,0.909,0.683,0.405,0.595,32
Persistent_cand,burnend,43f924417d96951dd1dba6a4b3f8b154efe8d04e6d233bd35cf2fabdeb93fb0d,272|276|277|279|281|281,272,9,4,5,4,3,0.444,0.667,0.309,0.791,0.209,2
Persistent_cand,burnend,796b8c249be4a695b237f05e61ff374e,270|270|272|274|280|281,270,11,1,10,4,3,0.545,0.727,0.372,0.726,0.274,4
