cohort,character_name,ocid,date,level,exp,exp_rate,combat_power,error_code
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-06-18,251,264979809,0.138,716866,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-06-19,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-06-20,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-06-21,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-06-22,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-06-23,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-06-24,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-06-25,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-06-26,251,264979809,0.138,716866,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-06-27,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-06-28,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-06-29,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-06-30,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-07-01,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-07-02,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-07-03,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-07-04,251,264979809,0.138,716866,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-07-05,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-07-06,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-07-07,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-07-08,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-07-09,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-07-10,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-07-11,251,264979809,0.138,,
approach,연둥이박쥐,b117ed76c2bc3cbc9d3735546088fac3,2026-07-12,251,264979809,0.138,716866,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-06-18,251,266460110,0.139,32506,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-06-19,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-06-20,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-06-21,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-06-22,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-06-23,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-06-24,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-06-25,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-06-26,251,266460110,0.139,32506,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-06-27,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-06-28,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-06-29,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-06-30,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-07-01,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-07-02,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-07-03,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-07-04,251,266460110,0.139,32506,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-07-05,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-07-06,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-07-07,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-07-08,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-07-09,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-07-10,251,266460110,0.139,,
approach,에틸와헌,844a24fefd666078c64ffd58e313dbec,2026-07-11,251,266460110,0.139,,
