cohort,character_name,ocid,date,level,exp,exp_rate,combat_power,error_code
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-06-18,260,106607540106,6.155,4776467,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-06-19,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-06-20,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-06-21,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-06-22,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-06-23,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-06-24,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-06-25,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-06-26,260,106607540106,6.155,4776467,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-06-27,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-06-28,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-06-29,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-06-30,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-07-01,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-07-02,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-07-03,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-07-04,260,106607540106,6.155,4776467,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-07-05,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-07-06,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-07-07,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-07-08,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-07-09,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-07-10,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-07-11,260,106607540106,6.155,,
at260,해달소라,74bb94ae1c1bd047be19b110bae0aef8,2026-07-12,260,106607540106,6.155,4776467,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-06-18,260,105351717055,6.083,2417242,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-06-19,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-06-20,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-06-21,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-06-22,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-06-23,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-06-24,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-06-25,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-06-26,260,105351717055,6.083,2417242,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-06-27,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-06-28,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-06-29,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-06-30,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-07-01,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-07-02,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-07-03,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-07-04,260,105351717055,6.083,2417242,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-07-05,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-07-06,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-07-07,260,105351717055,6.083,,
at260,솜꼬뭉,0816395b59d93d2a4334278dfca9081eefe8d04e6d233bd35cf2fabdeb93fb0d,2026-07-08,260,105351717055,6.083,,
