cohort,character_name,ocid,date,level,exp,exp_rate,combat_power,error_code
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-06-18,256,95477402186,42.856,2399205,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-06-19,256,95477402186,42.856,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-06-20,256,95477402186,42.856,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-06-21,256,155350319504,69.731,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-06-22,256,210265455364,94.380,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-06-23,257,42394521735,18.475,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-06-24,257,97309657595,42.406,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-06-25,257,133919748169,58.361,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-06-26,257,170529838743,74.315,2293229,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-06-27,257,207139929317,90.269,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-06-28,258,14280368318,6.042,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-06-29,258,50890458892,21.531,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-06-30,258,94822567580,40.119,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-01,258,138754676268,58.706,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-02,258,182686784956,77.294,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-03,258,226618893644,95.881,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-04,259,34197261212,14.047,2078931,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-05,259,78129369900,32.093,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-06,259,122061478588,50.139,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-07,259,165993587276,68.185,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-08,259,209925695964,86.231,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-09,260,5135531901,0.297,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-10,260,5135531901,0.297,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-11,260,5135531901,0.297,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-12,260,5135531901,0.297,2169252,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-13,260,5135531901,0.297,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-14,260,5135531901,0.297,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-15,260,5135531901,0.297,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-16,260,5135531901,0.297,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-17,260,5135531901,0.297,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-18,260,5135531901,0.297,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-19,260,5135531901,0.297,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-20,260,5135531901,0.297,2169252,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-21,260,5135531901,0.297,,
climb,떴옹,f3015dc9a03728bfe079230032853566,2026-07-22,260,5135531901,0.297,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-06-18,256,40320238238,18.098,21907,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-06-19,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-06-20,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-06-21,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-06-22,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-06-23,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-06-24,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-06-25,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-06-26,256,40320238238,18.098,21907,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-06-27,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-06-28,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-06-29,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-06-30,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-01,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-02,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-03,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-04,256,40320238238,18.098,21907,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-05,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-06,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-07,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-08,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-09,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-10,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-11,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-12,256,40320238238,18.098,21907,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-13,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-14,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-15,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-16,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-17,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-18,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-19,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-20,256,40320238238,18.098,21907,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-21,256,40320238238,18.098,,
climb,스커써내,f9f77def0d9d14b974e426e3e6e92d263663933da92e7566c55104ec9ac2894d,2026-07-22,256,40320238238,18.098,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-06-18,256,59890925011,26.883,60448,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-06-19,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-06-20,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-06-21,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-06-22,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-06-23,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-06-24,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-06-25,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-06-26,256,59890925011,26.883,60448,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-06-27,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-06-28,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-06-29,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-06-30,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-01,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-02,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-03,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-04,256,59890925011,26.883,60448,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-05,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-06,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-07,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-08,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-09,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-10,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-11,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-12,256,59890925011,26.883,60448,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-13,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-14,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-15,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-16,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-17,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-18,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-19,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-20,256,59890925011,26.883,60448,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-21,256,59890925011,26.883,,
climb,피연역,81b7a5605a1d5e89e468fe1400d822e7,2026-07-22,256,59890925011,26.883,,
climb,고철이,75825776cb7a2cb5eebb879c4ebafdac,2026-06-18,256,199855352814,89.707,7624803,
climb,고철이,75825776cb7a2cb5eebb879c4ebafdac,2026-06-19,257,35171427588,15.327,,
climb,고철이,75825776cb7a2cb5eebb879c4ebafdac,2026-06-20,257,35171427588,15.327,,
climb,고철이,75825776cb7a2cb5eebb879c4ebafdac,2026-06-21,257,76960466708,33.538,,
climb,고철이,75825776cb7a2cb5eebb879c4ebafdac,2026-06-22,257,194084922483,84.580,,
climb,고철이,75825776cb7a2cb5eebb879c4ebafdac,2026-06-23,258,59485710208,25.168,,
climb,고철이,75825776cb7a2cb5eebb879c4ebafdac,2026-06-24,258,154537212979,65.384,,
climb,고철이,75825776cb7a2cb5eebb879c4ebafdac,2026-06-25,259,28402380192,11.667,,
climb,고철이,75825776cb7a2cb5eebb879c4ebafdac,2026-06-26,259,103696640401,42.596,7128028,
climb,고철이,75825776cb7a2cb5eebb879c4ebafdac,2026-06-27,259,103696640401,42.596,,
climb,고철이,75825776cb7a2cb5eebb879c4ebafdac,2026-06-28,260,103773851,0.006,,
climb,고철이,75825776cb7a2cb5eebb879c4ebafdac,2026-06-29,260,468882432262,27.073,,
climb,고철이,75825776cb7a2cb5eebb879c4ebafdac,2026-06-30,260,488458573577,28.203,,
