ocid,provisional_label,cohort,lv_2025-06-12,lv_2025-09-24,lv_2025-12-12,lv_2026-03-15,lv_2026-06-12,lv_2026-09-02
fa39a2e4380717410f37ef5b714cbfdeefe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,at260,244,244,244,244,260,260
beda5d5ec1545edf9a4d8e38b4dceeb6,Reactivated,climb,210,210,210,210,253,260
eff975d64b85b79179cc4f90e8893421efe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,approach,215,215,215,215,251,251
985573f04f85b3501f50a356377c679886e68d4012202d0434d05f81868f68e3,Reactivated,at260,251,252,252,260,260,260
322e0c545d3eb91bf7f939b35dfc184befe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,at260,200,200,200,200,260,260
40628316b1c492bd5dd1387de1130400,Reactivated,approach,245,245,245,245,251,251
f7b147c43d7043c58db9a9fc8066adb7,Reactivated,at260,200,200,200,200,243,260
d947e36c1eeb2133c18c016536634ae1,Reactivated,climb,233,233,233,233,250,256
36e0e9412e52589137f36eacfc8d44dc,Reactivated,at260,251,251,251,251,259,260
fe69a223ce0c0e54b6fdf2dd416b77cd,Reactivated,at260,252,252,252,259,260,260
341f2f81f32bb8dc520fd820284c9c1a,Reactivated,at260,250,251,251,254,260,260
5de0123ac099e051170ba5ab77913739,Reactivated,burnend,267,267,267,267,281,281
7546ef4227f74639b2f8ea867c6b72d2efe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,approach,206,206,206,206,251,251
9aef3930d0c4bb12db2553fec19725c6,Reactivated,approach,233,233,233,233,251,251
305cfeffbf0e3cd3f77e03d3017accd3,Reactivated,approach,200,200,200,200,251,251
152b48e72916a0840bb94839b919a2d1,Reactivated,approach,210,210,210,210,251,251
8d122603cc2db91e6207422778417b75efe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,climb,204,204,205,209,254,260
ce8c0a13c18cb84e722ac0b9d5b5a277efe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,approach,211,211,211,211,251,251
f1afbe79a770af3761c7d59aca988668,Reactivated,at260,200,200,200,200,260,260
96e7bbfc1c831f81ebc6605710852de7,Reactivated,approach,200,200,200,200,251,251
261156f1c9847a1ba6771b705966e467efe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,burnend,275,275,275,275,281,283
4c52885860d4753445fe99fd1ebceddd,Reactivated,approach,202,202,202,202,251,251
8a2a7342bece01ae520075eeacfd7119efe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,climb,210,210,210,210,254,260
c61638b660fbc88a30311e9a9517428b,Reactivated,approach,200,200,200,205,251,251
2702d81aacaa6db01ac8b751e7b19467,Reactivated,approach,200,200,200,200,251,251
4fca895611997f23258575fb74970c4d,Reactivated,approach,211,211,211,211,246,251
4e235df4137784725e8dc78513357167,Reactivated,at260,250,250,250,250,260,260
3bfba48b518e5bb7247117742e759984,Reactivated,approach,200,200,200,200,251,251
915ee5bd5f66969a1e4f06fa715f2443,Reactivated,at260,225,225,225,225,260,260
b2510850189b6b332a241aa440682225,Reactivated,at260,250,250,250,250,260,260
968dcddc5d86513a350aab8d4d9140a4,Reactivated,climb,232,232,232,232,255,256
8e117feaa5120da881beeb39a48f0a1d,Reactivated,at260,250,250,250,254,260,260
a324ab06228cd71851def39f47053d15,Reactivated,approach,200,200,200,200,251,251
b22f12c94280f0e1016def1bc511eb86,Reactivated,at260,248,248,248,255,260,260
b9909455709349657c4ab24400262213,Reactivated,approach,200,200,200,200,251,251
9857c406022684cdab05dbb7e534fd9b,Reactivated,at260,208,208,208,208,223,260
1c85171c1258f89e8bece5d659dcff79,Reactivated,climb,252,252,252,252,255,267
107f521c149c8d1dce72ab4c05a7b4f7,Reactivated,climb,222,222,222,222,256,256
d42092067ce94e3fef8dc163ddefee64,Reactivated,approach,200,200,200,200,251,251
9e2f68e5cb73f579758e037ce040cb78,Reactivated,climb,250,250,250,250,256,260
b61dd0c09a684a225ac79f43c63df363efe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,approach,210,210,210,210,251,251
d71497b7485f3bc3bd6b9d6970c288a9,Reactivated,at260,235,235,236,241,260,260
3c905e938e84603bf78a5dfd8566cd4aefe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,climb,251,251,251,251,251,256
deac83da3ad038653b044abfa5ff4195,Reactivated,approach,220,220,220,220,251,251
cfc46ad7781122698e23b88dc57846c6,Reactivated,at260,245,245,245,245,260,260
5ebf5efb593c50faa97ae4d5498c8741efe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,approach,205,205,205,205,251,251
75870a6708e21dea0c4c4b6c07abd431,Reactivated,approach,200,200,200,200,251,251
d0ad15ef68ae8d071839d13db145ce61,Reactivated,climb,239,239,239,239,256,256
3d6a5b10cf24574c193aa6397f595e62,Reactivated,at260,218,218,218,253,260,260
5f619cfddc76c3d18efb7699c4ea5c95,Reactivated,at260,250,250,250,250,260,260
6ea1a4d9f78c78465d1429c9dd49c26886e68d4012202d0434d05f81868f68e3,Reactivated,at260,230,231,232,260,260,260
7c7755ca997a441de0c70264602ddb64,Reactivated,at260,223,223,223,260,260,260
0ee368e80ebb300bba62490aedbb89f84723574b05820acf03e7ec3162ff5bed,Reactivated,at260,245,245,245,245,260,260
aba231fdbe664aa914935b01fe006444,Reactivated,approach,200,200,200,200,251,251
9935b053eb8d9e8ff86241fd7e0f78dcefe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,climb,251,251,251,251,251,256
019b9c1293fd72d14c15318d479ac66e,Reactivated,climb,252,252,252,252,254,260
18d28330a87926123e8ec7480804f0fb,Reactivated,at260,211,211,211,215,260,260
3aa2b3e54842fe8959ef6b7bf5bff858efe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,climb,250,250,250,250,256,260
b780eb244f1558b504e3c3d714c9d696efe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,approach,222,222,222,222,251,251
8c22c0718d29c49a35840b47888fcab3efe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,climb,251,251,251,251,255,260
564ef91ab28becc884e6457f9ca16ce0,Reactivated,at260,223,223,223,223,260,260
605f4a118947a153ad145459d118209f,Reactivated,at260,215,215,215,215,260,260
70767ecf7c83ef5cf992a28e40a44e09,Reactivated,at260,250,250,250,253,260,260
43244b5c3237480729e5feadd94312e9efe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,climb,211,211,211,211,256,260
474b50bb515f88d5c081d3d0c423b7f6,Reactivated,at260,242,242,242,242,260,260
2ff7c4b52828039a111d85ee800b1b53,Reactivated,approach,205,205,205,205,251,251
67401d2eca73ba8dd6719e1cad1560e5,Reactivated,approach,210,210,210,210,251,251
afc54144137f5bba7ea0fe16e91574a7,Reactivated,climb,251,251,251,251,256,256
05744da4d25f8ded7db91c553c174a80efe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,at260,242,242,242,242,260,260
2eb44bb805a9231b95e48eb01006d50b,Reactivated,approach,209,209,209,209,251,251
22997fd66675e6301529a0933aafd70f,event_period_new,past260,,,,,262,262
8e296050312b9da2be6c511e7267aa00,event_period_new,past260,,260,262,262,262,277
efed4bdca099185b6fb399e8e64464f8,event_period_new,climb,,,236,250,254,260
685fa4e191b5eac5dfa2c7f14daaaefd,event_period_new,burnend,,281,281,281,281,281
1f90699019ce76c8d03973dcba1a0ab9,event_period_new,past260,,260,260,262,262,262
e3883a48a4174b566c644b4a6aabb791,event_period_new,burnend,,281,281,281,281,281
23c24b91787501cb8f38b861ef954724,event_period_new,approach,,,,,251,251
a7bf2099e0c75d5298040be62d0bcf2defe8d04e6d233bd35cf2fabdeb93fb0d,event_period_new,at260,,,260,260,260,278
6d978b338ef9a295bd0430c1b5367853efe8d04e6d233bd35cf2fabdeb93fb0d,event_period_new,past260,,,,261,262,262
3b5b09a50e30828c3e44fd25b6d831a7,event_period_new,climb,,240,240,240,256,256
05c7bd6a8c27a99ee6365c90178b8ac7,event_period_new,burnend,,,281,281,281,281
6ff07b813a897b3b3a0eda6c01aaeb4e,event_period_new,climb,,,,,256,256
783b3d264c9d11c5e2ad8bca16109c80,event_period_new,burnend,,,,,281,281
8536039595a783d9da2c070ae91b8607efe8d04e6d233bd35cf2fabdeb93fb0d,event_period_new,burnend,,280,281,281,281,281
96bda04cfffa2c9aee37f8a07abd829defe8d04e6d233bd35cf2fabdeb93fb0d,event_period_new,at260,,,,,,260
68f6f08f2db0fdb966e3d6ff1582efe1,event_period_new,burnend,,,278,280,281,281
3a0b909d35bbb0fdef5fe0c7a87e66be,event_period_new,at260,,,260,260,260,260
e6edaa2feef4e15d350902d139b4d601,event_period_new,past260,,,262,262,262,262
bec0f7c453d589ab69a294e926314d83efe8d04e6d233bd35cf2fabdeb93fb0d,event_period_new,burnend,,281,281,281,281,281
130298362394149ba88de76af6c6fe70,event_period_new,climb,,,255,255,256,256
c01fcc7dee9892b5a06f57ad4409ec26,event_period_new,at260,,,260,260,260,260
ada9c25850509c47e4277fe1ea7e0821,event_period_new,burnend,,,,271,281,281
c713b35f0eb40bcf0b51ae0ad9fffff8e85e07f9d5d276f44440847eec04ba68,event_period_new,past260,,,,255,262,262
e6baed67181d531851511b3e5080e28a86e68d4012202d0434d05f81868f68e3,event_period_new,burnend,,,,,281,281
5327d7d5d000f3b321e26e0034244a73efe8d04e6d233bd35cf2fabdeb93fb0d,event_period_new,burnend,,,,234,281,281
4ccd881a67b9074928707cf8f5a2263e,Dormant,at260,260,260,260,260,260,260
df14a27dafe56d2e899c597345fd1dafe85e07f9d5d276f44440847eec04ba68,Dormant,at260,260,260,260,260,260,260
3d37a0a336997f9c9ffa327c0fe903e5,Dormant,at260,260,260,260,260,260,260
93e084788d4c849a92354172b16277ba,Dormant,past260,262,262,262,262,262,262
c2794ac88499c283bda46f876d85592eefe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
696777d67fcdca152f17a780deba41818295750b1f4857867454debc45ec9c8a,Dormant,at260,260,260,260,260,260,260
f48df7a6108f689e82d399487a2b58e7,Dormant,at260,260,260,260,260,260,260
8b0ef0ce0dde07cc3bf76ae3835984fa,Dormant,at260,260,260,260,260,260,260
3d071f1d01071392b85d8492892da839,Dormant,at260,260,260,260,260,260,260
dc443be24282d000511ddf124fa953ee,Dormant,past260,262,262,262,262,262,262
