analysis_group,label,cohort,ocid,character_name,levels,start_level,end_level,total_growth,event_growth,between_growth,max_interval_growth,max_interval_seg,burst_ratio,std_interval,n_active_ge2,n_active_ge1,n_flat,n_intervals_known,seg0_assemble,seg4_overdrive,first_260_offset,exp_rate_at_260,obs_days_after_260,final_exp_rate,cp_delta_5snap
parker_vs_persistent,Persistent_cand,climb,547b6f2aa500f7d92a8224c18ef87d74,,225|235|237|249|255|256,225,256,31,11,20,12,2,0.387,4.31,4,5,0,5,10,1,,,,,
parker_vs_persistent,Persistent_cand,at260,749d0a2b099c6d3cb65218b02c1f4234,,250|255|255|257|260|260,250,260,10,5,5,5,0,0.5,1.9,3,3,2,5,5,0,,,,,
parker_vs_persistent,Persistent_cand,at260,a7bc11fed0e07ceb652a2f1148e932ffefe8d04e6d233bd35cf2fabdeb93fb0d,,223|223|226|240|260|260,223,260,37,0,37,20,3,0.541,8.14,3,3,2,5,0,0,,,,,
parker_vs_persistent,Persistent_cand,climb,db50a8916c2feaeb4fa8e4c6e55a7b3defe8d04e6d233bd35cf2fabdeb93fb0d,,200|200|200|203|255|260,200,260,60,5,55,52,3,0.867,20.09,3,3,2,5,0,5,,,,,
parker_vs_persistent,Persistent_cand,climb,cb101b65ee0e5bc06bf046ed1d47059e,,220|220|220|235|255|260,220,260,40,5,35,20,3,0.5,8.12,3,3,2,5,0,5,,,,,
parker_vs_persistent,Persistent_cand,climb,61668637c76b2fee59cf483e22c11dd9,,230|234|236|243|256|260,230,260,30,8,22,13,3,0.433,3.85,5,5,0,5,4,4,,,,,
parker_vs_persistent,Persistent_cand,climb,85892b7afd7c6caa422d8eea63e91438efe8d04e6d233bd35cf2fabdeb93fb0d,,235|235|235|250|255|260,235,260,25,5,20,15,2,0.6,5.48,3,3,2,5,0,5,,,,,
parker_vs_persistent,Persistent_cand,climb,28d97f8c4b9f673d366ec5776e874901,,228|228|239|245|255|260,228,260,32,5,27,11,1,0.344,3.93,4,4,1,5,0,5,,,,,
parker_vs_persistent,Persistent_cand,climb,69f23d1fd1e4f77b9e6cb77dcf3850ad,,222|222|223|231|255|260,222,260,38,5,33,24,3,0.632,8.69,3,4,1,5,0,5,,,,,
parker_vs_persistent,Persistent_cand,climb,911dc910e299fb5505bfc67e0c3108beefe8d04e6d233bd35cf2fabdeb93fb0d,,215|215|218|219|255|259,215,259,44,4,40,36,3,0.818,13.67,3,4,1,5,0,4,,,,,
parker_vs_persistent,Persistent_cand,burnend,43f924417d96951dd1dba6a4b3f8b154efe8d04e6d233bd35cf2fabdeb93fb0d,,272|276|277|279|281|281,272,281,9,4,5,4,0,0.444,1.33,3,4,1,5,4,0,,,,,
parker_vs_persistent,Persistent_cand,burnend,796b8c249be4a695b237f05e61ff374e,,270|270|272|274|280|281,270,281,11,1,10,6,3,0.545,2.04,3,4,1,5,0,1,,,,,
parker_vs_persistent,Persistent_cand,climb,3396ac20ee6b13736f581ef2ba97e4b2efe8d04e6d233bd35cf2fabdeb93fb0d,,250|250|250|252|255|260,250,260,10,5,5,5,4,0.5,1.9,3,3,2,5,0,5,,,,,
parker_vs_persistent,Persistent_cand,at260,31aef16daf069148c4ab036ec2ab68e7efe8d04e6d233bd35cf2fabdeb93fb0d,,240|241|243|252|260|260,240,260,20,1,19,9,2,0.45,3.74,3,4,1,5,1,0,,,,,
parker_vs_persistent,Persistent_cand,burnend,acfa0f288ed6ca09d34795660d6c4535,,275|277|280|280|281|284,275,284,9,5,4,3,1,0.333,1.17,3,4,1,5,2,3,,,,,
parker_vs_persistent,Persistent_cand,climb,4853c5be4037f04057294142febc30efefe8d04e6d233bd35cf2fabdeb93fb0d,,161|200|200|218|256|260,161,260,99,43,56,39,0,0.394,16.4,4,4,1,5,39,4,,,,,
