ocid,provisional_label,cohort,lv_2025-06-12,lv_2025-09-24,lv_2025-12-12,lv_2026-03-15,lv_2026-06-12,lv_2026-09-02
547b6f2aa500f7d92a8224c18ef87d74,Persistent_cand,climb,225,235,237,249,255,256
749d0a2b099c6d3cb65218b02c1f4234,Persistent_cand,at260,250,255,255,257,260,260
a7bc11fed0e07ceb652a2f1148e932ffefe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,at260,223,223,226,240,260,260
db50a8916c2feaeb4fa8e4c6e55a7b3defe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,climb,200,200,200,203,255,260
4ccd881a67b9074928707cf8f5a2263e,Dormant,at260,260,260,260,260,260,260
df14a27dafe56d2e899c597345fd1dafe85e07f9d5d276f44440847eec04ba68,Dormant,at260,260,260,260,260,260,260
3d37a0a336997f9c9ffa327c0fe903e5,Dormant,at260,260,260,260,260,260,260
fa39a2e4380717410f37ef5b714cbfdeefe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,at260,244,244,244,244,260,260
beda5d5ec1545edf9a4d8e38b4dceeb6,Reactivated,climb,210,210,210,210,253,260
eff975d64b85b79179cc4f90e8893421efe8d04e6d233bd35cf2fabdeb93fb0d,Reactivated,approach,215,215,215,215,251,251
a35f4d0b3c1f76de607cd275cd647e10,Seasonal_Parker,burnend,276,279,280,280,280,282
aed59f313aca1957cce26cb72591dfc9,Seasonal_Parker,at260,200,260,260,260,260,260
c463d28a20e7e17a5a476039e2d10c16,Seasonal_Parker,burnend,273,279,280,280,281,284
22997fd66675e6301529a0933aafd70f,event_period_new,past260,,,,,262,262
8e296050312b9da2be6c511e7267aa00,event_period_new,past260,,260,262,262,262,277
efed4bdca099185b6fb399e8e64464f8,event_period_new,climb,,,236,250,254,260
