cohort,character_name,anchor_level,stagnation_start_level,note
approach,10노잼신궁,251,251,
approach,1211자,251,251,
approach,12227,251,251,
approach,1코어거드라,251,251,
approach,200하고접엇,251,251,
approach,5월의재수생,251,251,
approach,6UCCl,251,251,
approach,8132134,251,251,
approach,AK222,251,251,
approach,Arcides,251,251,
approach,GG메르,251,251,
approach,Iv패왕vI,251,251,
approach,LG폰특가,251,251,
approach,Lyingl팬텀l,251,251,
approach,MMeCe,251,251,
approach,NLords,251,251,
approach,NineSprint,251,251,
approach,PiIy,251,251,
approach,exe07,251,251,
approach,fantasic메세,251,251,
approach,fgfagfd,251,251,
approach,hyungi6,251,251,
approach,iIIi라이트,251,251,
approach,qwewr135,251,251,
approach,sisi0,251,251,
approach,tkqlba,251,251,
approach,감만삭,251,251,
approach,갓두공기,251,251,
approach,강1해린,251,251,
approach,강약중펀치,251,251,
approach,갱상도로보트,251,251,
approach,검은빛북극곰,251,251,
approach,견쿨녀,251,251,
approach,겸치싸개2수,251,251,
approach,계란조리,251,251,
approach,고인향,251,251,
approach,고평곤,251,251,
approach,공카닉버프,251,251,
approach,광양곱도리탕,251,251,
approach,괴물쥐환슥,251,251,
approach,글자네에레브,251,251,
approach,금방접을건대,251,251,
approach,금요일저녁비,251,251,
approach,기오연,251,251,
approach,긴과니,251,251,
approach,김쮸폴암,251,251,
approach,꼬맹바니,251,251,
approach,꽃잠날,251,251,
approach,꾸꾸p,251,251,
approach,뀨뛴,251,251,
approach,나나나잇,251,251,
approach,나는하버할랭,251,251,
approach,나는환이당,251,251,
approach,나연뿌웅,251,251,
approach,낙낙에게,251,251,
approach,난초낀은1월,251,251,
approach,내자리라고씨,251,251,
approach,너도경험치62,251,251,
approach,너홍홍,251,251,
approach,녘샹,251,251,
approach,노현솔,251,251,
approach,뉴빙팡,251,251,
approach,늦긍서포터즈,251,251,
approach,다뤼아델,251,251,
approach,데몬검성,251,251,
approach,데벤슬레이오,251,251,
approach,데벤하는처니,251,251,
approach,데브리테,251,251,
approach,도히부캐11,251,251,
approach,독히살인마,251,251,
approach,동근이의그녀,251,251,
approach,두루산,251,251,
approach,둘쩌,251,251,
approach,떡잎마을도벽,251,251,
approach,라구동글,251,251,
approach,라라타이거,251,251,
approach,란영월,251,251,
approach,랑이샷,251,251,
approach,랫관,251,251,
approach,러브끼,251,251,
approach,로뀨메르,251,251,
approach,로마정,251,251,
approach,로봇햄서,251,251,
approach,로블럼,251,251,
approach,론솜의팔라딘,251,251,
approach,루끼드,251,251,
approach,루멀땅,251,251,
approach,루미네오너,251,251,
approach,르르중독,251,251,
approach,리웅대,251,251,
approach,링크35124123,251,251,
approach,링크f2344,251,251,
approach,링크뎀증쳐,251,251,
approach,링크오찬2,251,251,
approach,링크캉10호,251,251,
approach,링크큭은월,251,251,
approach,마을공주,251,251,
approach,만년고졸업생,251,251,
approach,만듀와간장,251,251,
approach,만득희,251,251,
approach,맛있는귤나나,251,251,
approach,망고체리자두,251,251,
approach,망치쾅팡,251,251,
approach,매횻메세,251,251,
approach,머종데몬,251,251,
approach,멀보노보노지,251,251,
approach,멍꿀메르메르,251,251,
approach,메르세데크스,251,251,
approach,메세자환,251,251,
approach,메카꽃향기,251,251,
approach,메킹마족,251,251,
approach,메하민1,251,251,
approach,멘탈약한은수,251,251,
approach,목련화Q,251,251,
approach,몽쉘몽쉘통통,251,251,
approach,묘츄츄소마,251,251,
approach,무자비한배찌,251,251,
approach,문WAR,251,251,
approach,물결유뇬일,251,251,
approach,뮤헤꽃,251,251,
approach,므느앙,251,251,
approach,미르란이,251,251,
approach,미미앤장군,251,251,
approach,미하일적중,251,251,
approach,밈멈믐밈,251,251,
approach,바인드붕이,251,251,
approach,반가문나로4,251,251,
approach,반갑너구리면,251,251,
approach,방무66,251,251,
approach,뱅큐크14,251,251,
approach,버섯시밧새,251,251,
approach,버프지속크림,251,251,
approach,보빡이123,251,251,
approach,복실빵슬,251,251,
approach,본투디선인도,251,251,
approach,부캐곧무원24,251,251,
approach,불래수우터,251,251,
approach,불량한샤프,251,251,
approach,블래링크3998,251,251,
approach,블래이쁜이,251,251,
approach,빅꿈나무,251,251,
approach,빠그빠그1인,251,251,
approach,뻬깅,251,251,
approach,삼만원은9억,251,251,
approach,상큼한거먹고,251,251,
approach,새송이버섯추,251,251,
approach,서지우짱,251,251,
approach,설리a,251,251,
approach,설인방,251,251,
approach,성장록,251,251,
approach,세열링크02,251,251,
approach,세탁과메카닉,251,251,
approach,셰보래,251,251,
approach,손구락뿌가각,251,251,
approach,손목기부요,251,251,
approach,솔제나,251,251,
approach,솥나하기싫어,251,251,
approach,수비니채고,251,251,
approach,순수바니걸,251,251,
approach,스공은높게,251,251,
approach,스나고무,251,251,
approach,스마일지니,251,251,
approach,스토리긴유니,251,251,
approach,스틸범이꿈임,251,251,
approach,시연울,251,251,
approach,신궁둥이뚜,251,251,
approach,신궁재미게따,251,251,
approach,실체조아,251,251,
approach,심대현,251,251,
approach,씨흔,251,251,
approach,씩씩와,251,251,
approach,아맞다패파,251,251,
approach,아비드지,251,251,
approach,아앙마아앙마,251,251,
approach,아오하기싫오,251,251,
approach,아욱당,251,251,
approach,아이띠예,251,251,
approach,아이유클이육,251,251,
approach,아임메카닉s,251,251,
approach,압둘알칼리,251,251,
approach,앰히얍,251,251,
approach,얜머리색이,251,251,
approach,에로스01,251,251,
approach,에스웍스터보,251,251,
approach,에온메카닉,251,251,
approach,여우유리제로,251,251,
approach,여은자월자,251,251,
approach,여호일링크18,251,251,
approach,엽엽시치,251,251,
approach,올포텐,251,251,
approach,옹국도,251,251,
approach,옹하아,251,251,
approach,완전소된엔버,251,251,
approach,왈아란이,251,251,
approach,왕빵댕이신궁,251,251,
approach,요르요르숫,251,251,
approach,용은월진,251,251,
approach,우유먹는원기,251,251,
approach,우제야라면끓,251,251,
approach,우혜진띠,251,251,
approach,움움맹맹이,251,251,
approach,웃고싶Er,251,251,
approach,원기월급도둑,251,251,
approach,월장룡,251,251,
approach,위험한독구름,251,251,
approach,윈브낭맨,251,251,
approach,유뇬메세001,251,251,
approach,유뇬용메카헤,251,251,
